ETF,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity,Out_Sentiment,Super_Score
IWY,0.4463974262375989,0.3105987611837578,0.710621387283237,0.1792325056433408,0.4167989804724255,0.2971929583276027,0.7484470979021935,0.651
FTCS,0.1495304668023989,0.7070199587061254,0.3153901734104046,0.3255079006772009,0.3135639200870649,0.7585063952688763,0.309153790799421,0.6503
MLPA,0.231443408712756,1.0,0.2973265895953757,1.0,0.1525204728445509,0.1063127492779535,0.5926950259523855,0.6471
QTUM,0.6013047911896895,0.5583620096352376,1.0,0.3234762979683973,0.2617855778595111,0.1642786411772795,0.632161257753566,0.6465
IYF,0.307004163981904,0.5335856847900896,0.5757466281310212,0.4291196388261852,0.2187250379357122,0.105644340530876,0.5594672168152853,0.6429
MLPX,0.3175568735855313,0.6203028217481076,0.6089836223506744,0.9248306997742664,0.2198751307970657,0.1,0.6026042678472243,0.6421
PABU,0.3577730109366065,0.1867171369580179,0.5080684007707129,0.3112866817155756,0.1544527983278581,0.4051533489203686,1.0,0.6421
EUSA,0.292350373938613,0.1743289745354439,0.4054672447013487,0.4413092550790067,0.1202023374101666,0.9205831384953924,0.6243862130859125,0.6418
VFLO,0.3062292167533024,0.5459738472126636,0.5757466281310212,0.3884875846501129,0.3456268109882054,0.6607825608582037,0.5337435734670034,0.6413
SCHE,0.3352016846853458,0.1495526496902959,0.4194364161849711,0.6972911963882619,0.4802599783623112,0.8105184981433089,0.4471296415369504,0.6409
DFLV,0.2647822361402068,0.3229869236063318,0.4553227360308285,0.4148984198645599,0.3130107570877105,0.9260789437491402,0.8101483814302952,0.6387
IWF,0.444304737878867,0.2858224363386098,0.6684730250481696,0.1812641083521445,0.7138367842549518,0.3318264337780222,0.5386538687797044,0.6383
IGM,0.5617144432227882,0.5459738472126636,0.9223265895953756,0.136568848758465,0.3626958285711622,0.1388172190895337,0.4509547796441363,0.6329
XLU,0.3329833953478679,0.1619408121128699,0.368135838150289,0.6261851015801354,0.8432996562886161,0.1,0.1,0.6301
QGRW,0.4948987971667977,0.4097040605643497,0.785043352601156,0.1182844243792325,0.1737461391843225,0.3020574886535552,0.7217056066455618,0.6291
ONEQ,0.4702612498773996,0.3229869236063318,0.7190510597302504,0.2686230248306998,0.3467289049890599,0.3367652317425388,0.6616689969546647,0.6282
SDY,0.2045926208341981,0.4964211975223677,0.2643304431599229,0.6139954853273137,0.4306988928122139,0.929557144821895,0.3257496367760488,0.623
XMMO,0.4847393375395175,0.4964211975223677,0.789378612716763,0.2442437923250564,0.2983818088680813,0.4978888736074817,0.4056244305387206,0.6214
IMCG,0.3908052546073679,0.1371644872677219,0.4625481695568401,0.2625282167042889,0.2048399701375606,0.6003905927657818,0.3847454148961494,0.6182
SUSA,0.3145988238253767,0.3725395732966278,0.5244460500963392,0.2970654627539504,0.2235226648679994,0.554555081831935,1.0,0.6172
VIOO,0.5547255322025184,0.1495526496902959,0.3953516377649325,0.3661399548532732,0.205153576638928,0.9071159400357584,0.5012184077246995,0.6155
XNTK,0.6191594223298995,0.4964211975223677,0.9558044315992292,0.1507900677200903,0.1358215767009664,0.150464860404346,0.4704137332855419,0.6154
PTLC,0.1951716980505904,0.8061252580867173,0.4100433526011561,0.3295711060948081,0.2029661975125825,0.6473401182780909,0.4020701713103698,0.6123
DSI,0.3473446787327211,0.3725395732966278,0.5608140655105973,0.3031602708803612,0.2407731363309898,0.4763636363636362,0.5260276296456412,0.6105
REET,0.3374615103722218,0.2362697866483139,0.2438583815028901,0.8415349887133183,0.3279551958230876,0.1005446293494705,0.2718726486208435,0.6089
THRO,0.3199950804600409,0.7689607708189953,0.6101878612716762,0.1386004514672686,0.3244645875104057,0.4835428414248384,0.5015385373087773,0.6089
TILT,0.332135550133257,0.3725395732966278,0.5386560693641619,0.345823927765237,0.1350118566661133,0.8185394031082381,1.0,0.6075
IVOO,0.4457179419301363,0.1495526496902959,0.4230491329479768,0.3702031602708804,0.191191006362522,0.8169302709393479,0.1954979383107555,0.6032
AMLP,0.2626278936549552,1.0,0.3430876685934489,1.0,0.4744572446302788,0.1047283729885847,0.4815017087258569,0.6011
DFUV,0.2868045733787674,0.3229869236063318,0.4550818882466281,0.4067720090293454,0.3908721449265994,0.917179205061202,0.406517509993789,0.598
SPYI,0.2604851038937963,0.9052305574673094,0.173771676300578,1.0,0.4384616810397645,0.6784830147159949,0.5866503227289269,0.5964
XLE,0.4620335363918788,0.1619408121128699,0.3430876685934489,0.5957110609480814,0.912178040856741,0.1,0.102356646245865,0.5955
DFGR,0.3218265465807954,0.3353750860289058,0.2274807321772639,0.9593679458239278,0.2289138218717436,0.1005322514097098,0.1,0.5943
NULV,0.2314485346772248,0.3849277357192018,0.3883670520231214,0.4291196388261852,0.1693712771662224,0.8927575299133542,1.0,0.589
JPEF,0.2926379862810342,0.6079146593255336,0.5208333333333334,0.2483069977426636,0.1352777916690952,0.5492820794938797,0.406517509993789,0.588
NULG,0.4251714547999164,0.3849277357192018,0.6345134874759152,0.1243792325056433,0.183156756101347,0.3132595241369824,0.2683988322110557,0.5828
CGGR,0.4402663034962748,0.5459738472126636,0.6891859344894027,0.1223476297968397,0.5974276907430787,0.7042662632375188,0.8028625604347196,0.5736
IYG,0.3526127327983295,0.5335856847900896,0.5743015414258189,0.3397291196388262,0.1326164090019334,0.1,0.7940631010980173,0.5725
TCHP,0.4490779611519685,0.7689607708189953,0.745062620423892,0.1,0.1519257591319675,0.3548865355521935,0.3911151727742101,0.5703
QYLD,0.2974465507923622,0.8061252580867173,0.1304190751445086,1.0,0.6082311325393069,0.3232113877045798,0.6294442605143415,0.5673
AIRR,0.6238748938619461,0.9176187198898832,1.0,0.1325056433408578,0.3529561297733093,0.1452908815843762,0.7964271349496687,0.5662
USRT,0.3532634570594907,0.1619408121128699,0.3074421965317919,0.6871331828442439,0.2365098332955819,0.1,0.3179417583049002,0.5647
IYW,0.5641375038523435,0.5335856847900896,0.8206888246628131,0.1304740406320542,0.520972166198918,0.1441768670059139,0.4455667524905808,0.5636
