ETF,DEA_Score,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity
PTLC,0.6123,0.1951716980505904,0.8061252580867173,0.4100433526011561,0.3295711060948081,0.2029661975125825,0.6473401182780909
DSI,0.6105,0.3473446787327211,0.3725395732966278,0.5608140655105973,0.3031602708803612,0.2407731363309898,0.4763636363636362
REET,0.6089,0.3374615103722218,0.2362697866483139,0.2438583815028901,0.8415349887133183,0.3279551958230876,0.1005446293494705
THRO,0.6089,0.3199950804600409,0.7689607708189953,0.6101878612716762,0.1386004514672686,0.3244645875104057,0.4835428414248384
TILT,0.6075,0.332135550133257,0.3725395732966278,0.5386560693641619,0.345823927765237,0.1350118566661133,0.8185394031082381
IVOO,0.6032,0.4457179419301363,0.1495526496902959,0.4230491329479768,0.3702031602708804,0.191191006362522,0.8169302709393479
AMLP,0.6011,0.2626278936549552,1.0,0.3430876685934489,1.0,0.4744572446302788,0.1047283729885847
DFUV,0.598,0.2868045733787674,0.3229869236063318,0.4550818882466281,0.4067720090293454,0.3908721449265994,0.917179205061202
SPYI,0.5964,0.2604851038937963,0.9052305574673094,0.173771676300578,1.0,0.4384616810397645,0.6784830147159949
XLE,0.5955,0.4620335363918788,0.1619408121128699,0.3430876685934489,0.5957110609480814,0.912178040856741,0.1
DFGR,0.5943,0.3218265465807954,0.3353750860289058,0.2274807321772639,0.9593679458239278,0.2289138218717436,0.1005322514097098
NULV,0.589,0.2314485346772248,0.3849277357192018,0.3883670520231214,0.4291196388261852,0.1693712771662224,0.8927575299133542
JPEF,0.588,0.2926379862810342,0.6079146593255336,0.5208333333333334,0.2483069977426636,0.1352777916690952,0.5492820794938797
NULG,0.5828,0.4251714547999164,0.3849277357192018,0.6345134874759152,0.1243792325056433,0.183156756101347,0.3132595241369824
CGGR,0.5736,0.4402663034962748,0.5459738472126636,0.6891859344894027,0.1223476297968397,0.5974276907430787,0.7042662632375188
IYG,0.5725,0.3526127327983295,0.5335856847900896,0.5743015414258189,0.3397291196388262,0.1326164090019334,0.1
TCHP,0.5703,0.4490779611519685,0.7689607708189953,0.745062620423892,0.1,0.1519257591319675,0.3548865355521935
QYLD,0.5673,0.2974465507923622,0.8061252580867173,0.1304190751445086,1.0,0.6082311325393069,0.3232113877045798
AIRR,0.5662,0.6238748938619461,0.9176187198898832,1.0,0.1325056433408578,0.3529561297733093,0.1452908815843762
USRT,0.5647,0.3532634570594907,0.1619408121128699,0.3074421965317919,0.6871331828442439,0.2365098332955819,0.1
IYW,0.5636,0.5641375038523435,0.5335856847900896,0.8206888246628131,0.1304740406320542,0.520972166198918,0.1441768670059139
SOXQ,0.5621,0.9904377568112652,0.2982105987611838,1.0,0.1690744920993228,0.198946523083775,0.1061394581213038
QDF,0.5593,0.28571554648715,0.5459738472126636,0.47507225433526,0.4433408577878104,0.1405369550676919,0.478430752303672
JGLO,0.5579,0.2701320621094563,0.6450791465932555,0.4712186897880539,0.3539503386004515,0.3028312108395022,0.8068298720946223
IXN,0.5528,0.5497222166795985,0.5459738472126636,0.7915462427745664,0.1690744920993228,0.3243408409515451,0.1
JGRO,0.5518,0.4330724667516263,0.6079146593255336,0.6713631984585742,0.1345372460496614,0.3411475787028291,0.4560514372163388
FBCG,0.5477,0.5749125781510107,0.7689607708189953,0.8748795761078998,0.110158013544018,0.3145420906742827,0.3385971668271214
JAVA,0.5468,0.2400291081525481,0.6079146593255336,0.4155828516377648,0.3742663656884876,0.2798988249345399,0.9991954339155548
QGRO,0.5434,0.4333978674902823,0.4220922229869237,0.6111512524084779,0.1426636568848758,0.1441512134871326,0.5585407784348783
JEPQ,0.5419,0.3500792946511331,0.4964211975223677,0.3308044315992292,1.0,0.7544528598601556,0.3919460871957089
IFRA,0.5419,0.3552017071770246,0.4344803854094977,0.5237235067437379,0.445372460496614,0.2360065104754374,0.3683784898913491
FUTY,0.5387,0.3337848098970641,0.1668960770818995,0.3635597302504817,0.607900677200903,0.1760900823446746,0.1
XLY,0.5343,0.5147518773236047,0.1619408121128699,0.4972302504816955,0.2665914221218961,0.8146032512461517,0.1020052262412323
PAVE,0.5304,0.5080869118145347,0.6450791465932555,0.7395231213872833,0.2747178329571106,0.4639299746940348,0.2026750103149497
VPU,0.5296,0.3354328460818669,0.1743289745354439,0.3594653179190751,0.6221218961625282,0.3079836586057229,0.1
IWR,0.5292,0.3611105424394595,0.2858224363386098,0.4442437379576107,0.3600451467268624,0.6759310742796373,0.99518498143309
FWD,0.5279,0.6293692150080588,0.8680660701995874,0.930033718689788,0.1223476297968397,0.1674420267799186,0.4101664145234492
TDIV,0.5261,0.453318642452479,0.6822436338609774,0.6778660886319846,0.4047404063205417,0.2228046670341572,0.1229734561958465
IYJ,0.525,0.3409170697313438,0.5335856847900896,0.5121628131021194,0.2686230248306998,0.1237810144240571,0.2279755191858066
AIQ,0.518,0.5465819605624964,0.9052305574673094,0.8185211946050096,0.1406320541760722,0.4090916018917993,0.217751340943474
