ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
EWT,3.0,2026-04-15,21.35,1.4,24.13,-28.01,0.59,3.46,7.18,0.002626,2026-05-22
URTH,3.0,2026-04-15,17.31,1.53,14.36,-16.94,0.24,0.3,7.31,0.106249,2026-05-22
GUNR,3.0,2026-04-15,8.32,2.23,16.52,-23.27,0.46,0.64,7.54,0.219184,2026-05-22
XLRE,3.0,2026-04-15,5.12,3.43,16.95,-18.25,0.08,6.43,7.31,-0.253752,2026-05-22
VIS,3.0,2026-04-15,21.27,0.97,17.17,-21.33,0.09,0.09,7.6,0.13682,2026-05-22
COPX,3.0,2026-04-15,27.93,2.59,35.71,-40.74,0.65,1.65,6.71,-0.038967,2026-05-22
BBUS,3.0,2026-04-15,19.09,1.14,15.01,-19.22,0.02,0.18,6.98,0.025023,2026-05-22
IJS,3.0,2026-04-15,10.38,1.43,21.71,-29.23,0.18,0.36,7.58,0.33955,2026-05-22
SPLV,3.0,2026-04-15,5.31,2.12,10.95,-10.52,0.25,2.36,7.31,-0.13155,2026-05-22
XLB,3.0,2026-04-15,8.58,1.75,17.02,-23.93,0.08,11.65,6.54,-0.435389,2026-05-22
FDL,3.0,2026-04-15,10.95,3.61,13.52,-13.19,0.43,0.79,7.35,0.135642,2026-05-22
VONE,3.0,2026-04-15,18.84,1.14,15.03,-19.31,0.06,0.08,10.18,0.148282,2026-05-22
SPYD,3.0,2026-04-15,6.1,4.37,14.8,-17.98,0.07,1.28,7.05,-0.132143,2026-05-22
JQUA,3.0,2026-04-15,15.53,1.26,13.7,-17.04,0.12,0.61,6.84,0.035265,2026-05-22
HEFA,3.0,2026-04-15,14.22,3.26,13.4,-14.28,0.35,1.06,6.8,-0.121717,2026-05-22
DFSV,3.0,2026-04-15,13.6,1.53,21.35,-28.52,0.3,0.9,6.83,0.131867,2026-05-22
URA,3.0,2026-04-15,39.2,4.4,40.86,-39.45,0.69,3.29,6.51,0.145754,2026-05-22
JGLO,2.6,2026-04-15,14.79,1.25,14.26,-17.73,0.47,0.33,6.54,0.0,2026-05-22
IJT,3.0,2026-04-15,12.83,0.86,20.18,-27.73,0.18,0.12,6.51,0.261164,2026-05-22
IXN,3.0,2026-04-15,28.09,0.34,23.4,-25.55,0.39,0.23,6.26,0.045991,2026-05-22
MCHI,3.0,2026-04-15,5.22,2.27,27.5,-27.63,0.59,3.59,6.61,-0.033447,2026-05-22
DIVO,3.0,2026-04-15,8.2,5.12,10.98,-13.29,0.56,0.45,6.61,0.094262,2026-05-22
TCAF,2.8,2026-04-15,15.41,0.54,14.15,-16.57,0.31,0.67,6.22,-0.206309,2026-05-22
BBAX,3.0,2026-04-15,8.06,3.73,16.77,-21.47,0.19,0.27,6.09,0.103133,2026-05-22
XMMO,3.0,2026-04-15,28.0,0.71,19.99,-25.22,0.35,0.26,5.84,-0.000544,2026-05-22
VFLO,2.8,2026-04-15,19.13,1.42,15.82,-18.3,0.39,0.63,6.16,0.077497,2026-05-22
BBIN,3.0,2026-04-15,12.38,3.9,15.33,-14.26,0.07,0.21,5.84,-0.106462,2026-05-22
INDA,3.0,2026-04-15,7.54,0.0,13.96,-23.28,0.61,5.15,6.75,0.067429,2026-05-22
ESGE,3.0,2026-04-15,16.29,2.45,17.93,-18.03,0.25,0.77,5.88,-0.000998,2026-05-22
KWEB,3.0,2026-04-15,-0.42,7.53,35.45,-35.31,0.7,21.2,6.04,-0.021698,2026-05-22
DXJ,3.0,2026-04-15,32.4,1.21,20.44,-22.19,0.48,0.66,5.85,-0.138579,2026-05-22
JAVA,3.0,2026-04-15,12.48,1.35,13.11,-17.08,0.44,0.24,5.97,0.0,2026-05-22
VSGX,3.0,2026-04-15,13.39,3.29,15.19,-15.12,0.1,0.16,5.78,-0.100891,2026-05-22
VOOV,3.0,2026-04-15,12.36,1.8,12.87,-18.39,0.07,0.09,6.24,0.249073,2026-05-22
XAR,3.0,2026-04-15,33.67,0.35,22.42,-19.82,0.35,0.13,5.78,0.109402,2026-05-22
