Rebalance_Date,ETF,Weight
2023-03-31,FNDX,0.0
2023-03-31,FDL,0.0
2023-03-31,SPYD,0.0
2023-03-31,VOE,0.0
2023-03-31,IVV,0.0
2023-03-31,RWL,0.0
2023-03-31,WTV,0.0
2023-03-31,VO,0.0
2023-03-31,IJH,0.0
2023-03-31,VBR,0.0
2023-03-31,PBUS,0.0
2023-03-31,SCHM,0.0
2023-03-31,IJR,0.0
2023-03-31,XLE,0.0
2023-03-31,SCHA,0.0
2023-03-31,SPYG,0.0
2023-03-31,SCHG,0.0
2023-05-01,SCHD,0.050191
2023-05-01,VYM,0.00286
2023-05-01,HDV,0.217876
2023-05-01,DIVO,0.0
2023-05-01,XLP,0.4
2023-05-01,SPYV,0.0
2023-05-01,USMV,0.0
2023-05-01,SPLV,0.0
2023-05-01,DGRO,0.0
2023-05-01,XLV,0.0
2023-05-01,VIG,0.0
2023-05-01,XYLD,0.275811
2023-05-01,SCHV,0.0
2023-05-01,DLN,0.0
2023-05-01,PTLC,0.053262
2023-05-01,DGRW,0.0
2023-05-01,SCHF,0.0
2023-05-01,FDVV,0.0
2023-05-01,SDY,0.0
2023-05-01,FDL,0.0
2023-05-01,IWX,0.0
2023-05-01,FNDX,0.0
2023-05-01,SPYD,0.0
2023-05-01,VOE,0.0
2023-05-01,IVV,0.0
2023-05-01,RWL,0.0
2023-05-01,USPX,0.0
2023-05-01,VO,0.0
2023-05-01,IJH,0.0
2023-05-01,VBR,0.0
2023-05-01,PBUS,0.0
2023-05-01,SCHM,0.0
2023-05-01,SPSM,0.0
2023-05-01,XLE,0.0
2023-05-01,SCHA,0.0
2023-05-01,SPYG,0.0
2023-05-01,VUG,0.0
2023-05-31,SCHD,0.040921
2023-05-31,VYM,0.065056
2023-05-31,HDV,0.232637
2023-05-31,DIVO,0.0
2023-05-31,XLP,0.4
2023-05-31,SPYV,0.0
2023-05-31,USMV,0.0
2023-05-31,DGRO,0.0
2023-05-31,SPLV,0.0
2023-05-31,VIG,0.0
2023-05-31,XLV,0.0
2023-05-31,SCHV,0.0
2023-05-31,XYLD,0.261386
2023-05-31,DLN,0.0
2023-05-31,SCHF,0.0
2023-05-31,FDVV,0.0
2023-05-31,PTLC,0.0
2023-05-31,DGRW,0.0
2023-05-31,SDY,0.0
2023-05-31,IWX,0.0
2023-05-31,FNDX,0.0
2023-05-31,VOE,0.0
2023-05-31,SPYD,0.0
2023-05-31,IVV,0.0
2023-05-31,RWL,0.0
2023-05-31,VO,0.0
2023-05-31,USPX,0.0
2023-05-31,IJH,0.0
2023-05-31,VBR,0.0
2023-05-31,PBUS,0.0
2023-05-31,SCHM,0.0
2023-05-31,SPSM,0.0
2023-05-31,XLE,0.0
2023-05-31,SCHA,0.0
2023-05-31,SPYG,0.0
2023-05-31,VUG,0.0
2023-06-30,SCHD,0.0
2023-06-30,VYM,0.0
2023-06-30,HDV,0.313908
2023-06-30,DIVO,0.197105
2023-06-30,XLP,0.344007
2023-06-30,SPYV,0.0
2023-06-30,USMV,0.0
2023-06-30,SPLV,0.0
2023-06-30,DGRO,0.0
2023-06-30,XLV,0.0
2023-06-30,VIG,0.0
2023-06-30,DLN,0.0
2023-06-30,IWD,0.0
2023-06-30,SDY,0.0
2023-06-30,FDL,0.0
2023-06-30,XYLD,0.087112
2023-06-30,DGRW,0.0
2023-06-30,PTLC,0.057868
2023-06-30,FDVV,0.0
2023-06-30,FVD,0.0
2023-06-30,IWX,0.0
2023-06-30,VOE,0.0
2023-06-30,SPYD,0.0
2023-06-30,SCHF,0.0
2023-06-30,RWL,0.0
2023-06-30,IVV,0.0
2023-06-30,VBR,0.0
2023-06-30,VO,0.0
2023-06-30,IJH,0.0
2023-06-30,USPX,0.0
2023-06-30,PBUS,0.0
2023-06-30,SCHM,0.0
2023-06-30,XLE,0.0
2023-06-30,SPSM,0.0
2023-06-30,SCHA,0.0
2023-06-30,SPYG,0.0
2023-06-30,VUG,0.0
2023-07-31,SCHD,0.0
2023-07-31,VYM,0.0
2023-07-31,HDV,0.323676
2023-07-31,DIVO,0.208214
2023-07-31,XLP,0.333384
2023-07-31,SPYV,0.0
2023-07-31,USMV,0.0
2023-07-31,DGRO,0.0
2023-07-31,SPLV,0.0
2023-07-31,XLV,0.0
2023-07-31,IWD,0.0
2023-07-31,DLN,0.0
2023-07-31,VIG,0.0
2023-07-31,SDY,0.0
2023-07-31,FDL,0.0
2023-07-31,XYLD,0.081821
2023-07-31,DGRW,0.0
2023-07-31,FDVV,0.0
2023-07-31,PTLC,0.052904
2023-07-31,FVD,0.0
2023-07-31,IWX,0.0
2023-07-31,FNDX,0.0
2023-07-31,SPYD,0.0
2023-07-31,SCHF,0.0
2023-07-31,VOE,0.0
2023-07-31,RWL,0.0
2023-07-31,IVV,0.0
2023-07-31,VBR,0.0
2023-07-31,IJH,0.0
2023-07-31,VO,0.0
2023-07-31,USPX,0.0
2023-07-31,PBUS,0.0
2023-07-31,SCHM,0.0
2023-07-31,XLE,0.0
2023-07-31,SPSM,0.0
2023-07-31,SCHA,0.0
2023-07-31,SPYG,0.0
